name,rank,true_skill,mu,sigma,practices,games
Peli,1,21.012301,34.630903,4.539534,5,16
B,2,16.965276,31.441070,4.825265,5,16
Jazz,3,16.869854,30.542414,4.557520,5,16
Strudl,4,16.029194,29.738195,4.569667,5,16
Cego,5,12.157694,27.786825,5.209710,3,9
FilaH,6,11.643597,27.096091,5.150831,4,13
Fanda,7,7.084285,21.954328,4.956681,5,16
Karlos,8,6.924826,24.223510,5.766228,4,9
Pisky,9,6.746578,21.176321,4.809914,3,14
VitVokroj,10,5.542197,19.669261,4.709021,3,14
